time,current
0.000000e+00, 1.000000e+01
6.000000e-01, 1.000000e+01
1.200000e+00, 1.000000e+01
1.800000e+00, 1.000000e+01
2.400000e+00, 1.000000e+01
3.000000e+00, 1.000000e+01
3.600000e+00, 1.000000e+01
4.200000e+00, 1.000000e+01
4.800000e+00, 1.000000e+01
5.400000e+00, 1.000000e+01
6.000000e+00, 1.000000e+01
6.600000e+00, 1.000000e+01
7.200000e+00, 1.000000e+01
7.800000e+00, 1.000000e+01
8.400000e+00, 1.000000e+01
9.000000e+00, 1.000000e+01
9.600000e+00, 1.000000e+01
1.020000e+01, 1.000000e+01
1.080000e+01, 1.000000e+01
1.140000e+01, 1.000000e+01
1.200000e+01, 1.000000e+01
1.260000e+01, 1.000000e+01
1.320000e+01, 1.000000e+01
1.380000e+01, 1.000000e+01
1.440000e+01, 1.000000e+01
1.500000e+01, 1.000000e+01
1.560000e+01, 1.000000e+01
1.620000e+01, 1.000000e+01
1.680000e+01, 1.000000e+01
1.740000e+01, 1.000000e+01
1.800000e+01, 1.000000e+01
1.860000e+01, 1.000000e+01
1.920000e+01, 1.000000e+01
1.980000e+01, 1.000000e+01
2.040000e+01, 1.000000e+01
2.100000e+01, 1.000000e+01
2.160000e+01, 1.000000e+01
2.220000e+01, 1.000000e+01
2.280000e+01, 1.000000e+01
2.340000e+01, 1.000000e+01
2.400000e+01, 1.000000e+01
2.460000e+01, 1.000000e+01
2.520000e+01, 1.000000e+01
2.580000e+01, 1.000000e+01
2.640000e+01, 1.000000e+01
2.700000e+01, 1.000000e+01
2.760000e+01, 1.000000e+01
2.820000e+01, 1.000000e+01
2.880000e+01, 1.000000e+01
2.940000e+01, 1.000000e+01
3.000000e+01, 1.000000e+01
3.060000e+01, 1.000000e+01
3.120000e+01, 1.000000e+01
3.180000e+01, 1.000000e+01
3.240000e+01, 1.000000e+01
3.300000e+01, 1.000000e+01
3.360000e+01, 1.000000e+01
3.420000e+01, 1.000000e+01
3.480000e+01, 1.000000e+01
3.540000e+01, 1.000000e+01
3.600000e+01, 1.000000e+01
3.660000e+01, 1.000000e+01
3.720000e+01, 1.000000e+01
3.780000e+01, 1.000000e+01
3.840000e+01, 1.000000e+01
3.900000e+01, 1.000000e+01
3.960000e+01, 1.000000e+01
4.020000e+01, 1.000000e+01
4.080000e+01, 1.000000e+01
4.140000e+01, 1.000000e+01
4.200000e+01, 1.000000e+01
4.260000e+01, 1.000000e+01
4.320000e+01, 1.000000e+01
4.380000e+01, 1.000000e+01
4.440000e+01, 1.000000e+01
4.500000e+01, 1.000000e+01
4.560000e+01, 1.000000e+01
4.620000e+01, 1.000000e+01
4.680000e+01, 1.000000e+01
4.740000e+01, 1.000000e+01
4.800000e+01, 1.000000e+01
4.860000e+01, 1.000000e+01
4.920000e+01, 1.000000e+01
4.980000e+01, 1.000000e+01
5.040000e+01, 1.000000e+01
5.100000e+01, 1.000000e+01
5.160000e+01, 1.000000e+01
5.220000e+01, 1.000000e+01
5.280000e+01, 1.000000e+01
5.340000e+01, 1.000000e+01
5.400000e+01, 1.000000e+01
5.460000e+01, 1.000000e+01
5.520000e+01, 1.000000e+01
5.580000e+01, 1.000000e+01
5.640000e+01, 1.000000e+01
5.700000e+01, 1.000000e+01
5.760000e+01, 1.000000e+01
5.820000e+01, 1.000000e+01
5.880000e+01, 1.000000e+01
5.940000e+01, 1.000000e+01
6.000000e+01, 1.000000e+01
6.060000e+01, 1.000000e+01
6.120000e+01, 1.000000e+01
6.180000e+01, 1.000000e+01
6.240000e+01, 1.000000e+01
6.300000e+01, 1.000000e+01
6.360000e+01, 1.000000e+01
6.420000e+01, 1.000000e+01
6.480000e+01, 1.000000e+01
6.540000e+01, 1.000000e+01
6.600000e+01, 1.000000e+01
6.660000e+01, 1.000000e+01
6.720000e+01, 1.000000e+01
6.780000e+01, 1.000000e+01
6.840000e+01, 1.000000e+01
6.900000e+01, 1.000000e+01
6.960000e+01, 1.000000e+01
7.020000e+01, 1.000000e+01
7.080000e+01, 1.000000e+01
7.140000e+01, 1.000000e+01
7.200000e+01, 1.000000e+01
7.260000e+01, 1.000000e+01
7.320000e+01, 1.000000e+01
7.380000e+01, 1.000000e+01
7.440000e+01, 1.000000e+01
7.500000e+01, 1.000000e+01
7.560000e+01, 1.000000e+01
7.620000e+01, 1.000000e+01
7.680000e+01, 1.000000e+01
7.740000e+01, 1.000000e+01
7.800000e+01, 1.000000e+01
7.860000e+01, 1.000000e+01
7.920000e+01, 1.000000e+01
7.980000e+01, 1.000000e+01
8.040000e+01, 1.000000e+01
8.100000e+01, 1.000000e+01
8.160000e+01, 1.000000e+01
8.220000e+01, 1.000000e+01
8.280000e+01, 1.000000e+01
8.340000e+01, 1.000000e+01
8.400000e+01, 1.000000e+01
8.460000e+01, 1.000000e+01
8.520000e+01, 1.000000e+01
8.580000e+01, 1.000000e+01
8.640000e+01, 1.000000e+01
8.700000e+01, 1.000000e+01
